originalVatNumber,name
DK41005505,Nordiqus 6. Julivej 67 ApS
DK42005533,Americas PandaConnect ApS
DK44005530,Arcentic ApS
DK43005529,Kaleidoscope Vision I/S
DK40005536,Pøtsø ApS
DK40005544,SH Entreprenør ApS
DK44005549,Camille Donnat
DK43005545,Raphael Payet-Burin majiconsult
DK41005556,Loptimisten ApS
DK44005557,Bulow
DK42005576,SENSU SUSHI ApS
DK44005565,Strikkeriet Kbh ApS
DK43005561,PSE Musicon ApS
DK42005592,Madsens Ejendoms Invest ApS
DK41005580,AquaTec ApS
DK40005579,Busspart Danmark ApS
DK44005581,Delta Crisis Management ApS
DK42005606,Damlund ApS
DK40005587,Red Swan ApS
DK43005588,Unika kunst Dorthe Lysemose
DK40005595,morfars kiosk v/Lotte S. Kejser
DK43005596,Kirsten Keller
DK44005603,Svea S
DK44005611,Vibe Byg ApS
DK43005618,V/ Mathilde Caroline Høg
DK40005625,Jesper Grandt Jørgensen
DK42005649,Transact Denmark A/S
DK41005645,Mærk Efter
DK49005857,Musikhuset Århus/Århus Kommune
DK41005653,Kim Green Golf
DK44005662,4U Service
DK42005681,Stroebech Media ApS
DK41005688,SBB Erik Husfeldts Vej ApS
DK42005703,RJD Maritime
DK41005696,Earthshine Group ApS
DK43005693,Toolbox Administration ApS
DK43005715,Support v/ Ole Jensen
DK44005735,Christian Steen Holding ApS
DK41005742,Crafty Ponies Danmark ApS
DK41005750,Hestetandklinikken Syd ApS
DK45006018,J O B af 27/6 1973 A/S
DK41005777,Tolstrup Nygaard v/Anders Nygaard
DK44005778,Staler Industries ApS
DK42005797,Intens Living ApS
DK40005773,MBEL APS
DK41005793,Dchr IT ApS
DK42005827,Bundmosegård I/S
DK43005804,Flowerpower by Rosborg
DK42005835,Autopleje.nu ApS
DK40005811,Sky-Drone ApS
DK44005832,Buta Service
DK41005831,Simpel Rådgivning ApS
DK41005858,Vestergaard Leasing A/S
DK44005867,Hans-Erik Andersen
DK42005886,Claygangsta v/Charlotte Klitgaard
DK41005874,Ipsen El-service ApS
DK43005863,Rudolph Digital
DK40005870,Pivotal.one ApS
DK44005883,Negleverden ApS
DK42005916,SMIDT WORKS ApS
DK42005924,DBbyg
DK41005912,Worldwide Commerce ApS
DK42005932,Aubo Køkken & Bad Aarhus 2021 ApS
DK41005920,Frb. Ejendomsservice ApS
DK42005940,Olsens stillads ApS
DK41005939,Sølund Living ApS
DK44005948,Vild hvede bageri
DK44005956,MaxVonHaps ApS
DK44005964,Mesnil Capital ApS
DK44005972,SingleStrandBio
DK40005978,Linhs Pølsevogn
DK42006009,Frit Løb I/S
DK41005998,SyncIT ApS
DK43006002,MA Group I/S
DK42006025,Nord Arkitekt ApS
DK41006021,Cleaning Service
DK44006030,NR. Møllegaard Hønseri ApS
DK44006049,Tran Capital
DK43006037,Det bedste valg
DK44006065,Aloecare.dk
DK41006064,Breus Holding ApS
DK44006073,CC Coffee Consulting ApS
DK49006314,Gdr Jens Anton Nørremark
DK41006080,NJ Consult
DK42006106,Salesish ApS
DK44006111,Thriving Life by Jessica
DK40006109,Detalo Health ApS
DK42006122,DK Overfladebehandling &          Mandskabsudlejning ApS
DK40006117,Arkitektfirma Jørn Sørensen
DK43006118,Stjerne Rengøring
DK43006126,MJ Malerentreprise ApS
DK44006154,Smagsgalleriet ApS
DK42006165,MattiWorks
DK40006176,Play Institute ApS
DK42006181,Holmgreen Hansen Invest ApS
DK44006189,CBX Service
DK40006184,UNIPACK ApS
DK44006197,Consulting By Bruun /v Martin ErikHarriett Hansen
DK41006188,Defensive Attack ApS
DK40006192,Jonas Golf ApS
DK43006207,Daniel Grandt Coaching
DK42006238,Ejendals ApS
DK41006226,Doctor Madsen
DK42006246,Eds-Vejle ApS
DK41006242,Ejbygaarden
DK42006262,FAR FROM HOME ApS
DK44006251,Gefion Consult
DK41006250,Else Marie Green
DK42006270,Copenhagen Tool Library
DK44006278,SOLARTECH NORDIC ApS
DK42006289,Kaerligenoter v/Maria boege
DK43006266,PureArt
DK44006286,JM Byg & Service /v John Madsen
DK43006274,Flensted Kropsterapi
DK44006294,Asnæs Blomster
DK43006282,Ligentia Denmark ApS
DK44006308,good morning
DK40006311,BURGERS Trailers (Scandinavia) ApS
DK42006319,Fanø Blokart
DK42006327,MatemaLiCo I/S
DK44006324,MHM Freelance
DK42006335,Way of Living ApS
DK43006320,Anesminde
DK40006346,Vesterbro pizza og grill
DK42006351,Egebjerg Fodbold
DK40006362,MBN-Fuger
DK43006347,Malene Ejsing Nørgård ApS
DK40006370,Daugaard's
DK49006616,Gunnar Brændeholm
DK44006367,Nyløkke 11 I/S
DK41006366,Frederiksberg Mad- & Kulturhus ApS
DK43006355,FlexGroup ApS
DK42006386,Egeberg´s ApS
DK44006375,Nyt Syn Egå ApS
DK43006363,B Entertained ApS
DK44006391,Real Malerfirma ApS
DK42006408,Lyngholt Udlejning I/S
DK42006424,CM-Installation ApS
DK41006412,Mænd uden Slips ApS
DK42006432,Unameit ApS
DK48006655,Elvirasminde A/S Eksport
DK41006420,Row Danmark ApS
DK44006448,P-Investment ApS
DK44006456,GoGrow ApS
DK42006467,Brandstoff Consulting ApS
DK41006455,Tegnevirksomheden Mads Stage I/S
DK44006464,Transparant ApS
DK43006452,Breeders Club
DK44006472,Clearview Vinduespuds
DK43006460,Cafe JaTak ApS
DK43006479,HV Entreprenør ApS
DK42006505,Louise Madsen
DK41006498,NGIN Automation ApS
DK40006508,EcoGroup ApS
DK44006502,Banebyg Partner STL Ejerskab ApS
DK40006532,InnoFoss Holding ApS
DK41006528,BUE-NET
DK44006537,Bilsyn-Odense ApS
DK42006564,Remedy Health Club ApS
DK43006541,R2IT
DK49006810,Rådgivende Ingeniørfirma          v/Ole Jacobsen
DK42006572,P.advizing
DK42006580,Treville X Partners ApS
DK41006587,S2U Design Denmark ApS
DK42006599,Murerfirmaet Bøtkjær ApS
DK44006618,OutInspire ApS
DK43006606,Tide Leasing 2022 ApS
DK44006634,Functioning Finance ApS
DK43006614,KBJ Byg ApS
DK43006622,HovedstadensMicroCement.dk
DK40006656,Valmet AB
DK44006650,Humans of Copenhagen
DK43006630,PK Bygning ApS
DK44006669,Klinik for zoneterapi v) Lena     Boysen
DK41006684,Ryslev Fugeservice
DK44006693,JOMAG ApS
DK40006702,Foto-Nissen
DK44006707,I/S Vognmarken 3, Helsinge
DK40006729,SIMA Byg ApS
DK41006714,Autoproducts ApS
DK43006711,Innsteel I/s
DK40006737,MS Quality at Wind
DK40006745,YH
DK49007019,Mathias Rudbeck
DK42006769,Alsted Innovation ApS
DK44006766,Sne-manden.dk
DK41006757,Køreskolen v/Andreas Byrgesen
DK44006774,Asturias ApS
DK41006765,Malerfirmaet Malax ApS
DK40006788,EVENTLAGERET
DK43006770,ljauto
DK42006793,CM Tømrerne
DK44006790,RDL-Murerfirma ApS
DK41006781,RASK MULTISERVICE
DK41006811,Josefina Enevold Textiles
DK44006820,AN-ØS ApS
DK44006839,Doticelli ApS
DK41006838,Madina
DK42006874,WMH Entreprise A/S
DK41006862,Ditte Lyngkær
DK44006871,Dignitate ApS
DK43006878,QBite Capital ApS
DK41006889,Wichmann køreskole
DK40006907,AM Tømrer & Snedker ApS
DK40006931,IDC Holding ApS
DK44006936,Sandø &co ApS
DK44006944,SA Media I/S
DK41006935,Fixhome-hus og have service
DK42006955,SoMe Content Group
DK41006943,A. K. Teknik
DK42006971,MCskovservice
DK40006982,Rosenlund Bed & Breakfast
DK40006990,Hair By Thiim
DK44006995,Choice Group ApS
DK42007005,Wandkær tagdækning
DK43006983,SOKOLOFF & SEWERIN
DK41007001,Plougstrup multiservice v/ Dennis Christensen
DK42007021,Erik Henriksen
DK42007048,Tellum v/Evan Tolstoj Hansen
DK41007036,Kick Green Invest ApS
DK43007025,ORTVING-SUPPORT ApS
DK41007044,Søbjerggaard af 1-12-2019 ApS
DK43007033,Patrick Brown
DK44007061,MH Entreprise
DK40007067,Advokatfirma Enver Hansen
DK42007072,Brands That Impact
DK40007083,Nytorvs Grill
DK43007068,Solid Therapeutics ApS
DK41007079,Hebsgaards Råd ApS
DK44007096,Os Der følger Floden ApS
DK41007087,Tandlæge Buendia ApS
DK42007102,Alpha Microcement
DK43007084,KlinkeXperten ApS
DK42007129,Sorring Hundesalon
DK44007134,Tutten nielsen
DK43007106,Fresh Nordic ApS
DK44007142,Indtech
DK41007125,60M ApS
DK42007145,1 DUANGJAI
DK44007150,KKS Montage
DK40007148,Ultra Kolding ApS
DK43007122,MicroGardens.dk ApS
DK42007153,Marketing Oraklet
DK40007156,Kolding Bolig Invest ApS
DK43007130,Nohol ApS
DK44007169,Theo
DK43007149,Snedker Ellegaard Landbrug ApS
DK44007193,Tarot Film - Multimedia Platform
DK41007184,Bunks Hårdesign
DK40007199,Motivational Landscape Production Aps
DK44007207,Magnus Honoré
DK43007173,SMOK Ejendomme ApS
DK41007192,Gl. Holte Tømrer ApS
DK43007181,BESTFORM home collections
DK40007237,Cemara Ejendomme ApS
DK48007511,Udlejer Lars Porsmose
DK44007266,vinovibes.dk
DK42007269,NorthStone Group
DK44007274,DEICHGRAEBER
DK41007257,Divine Alpaca Denmark
DK42007277,Thorup Friland
DK44007290,LatinaPizza
DK43007270,Multihave ApS
DK41007281,Røndbjerg
DK44007304,RAM 365
DK43007289,A Tailors Studio ApS
DK44007320,VOKA Holding ApS
DK40007326,RockLike ApS
DK44007339,JM the Studio
DK42007331,Abraham v/Bent Murer
DK40007342,Østerby Home
DK44007347,Point-Cafe
DK42007358,Bikash
DK41007354,Hosbonds.dk
DK40007385,MassFuse I/S
DK41007370,K. Fangel
DK42007404,Sørup Hovvej 24
DK41007397,Gårdlivet
DK43007394,Solcellecarporte Danmark ApS
DK44007436,Manøe
DK43007416,Bilel ApS
DK43007424,Scandisport ApS
DK44007460,Cover1.dk
DK43007440,HN Transport & Service ApS
DK44007495,Eivind Saaugaard
DK43007467,CAJO CONTENT ApS
DK41007478,FrederikkeRosenborg
DK40007490,Inpensas ApS
DK42007498,haiku rose family
DK41007486,Janax Trading ApS
DK43007491,I/S Thostrupgård
DK43007505,FamilienFørst
DK42007536,BEH-Haveservice
DK43007521,Kaj Schow Agenturer
DK40007547,It & medieydelser v/Adib Schmidt
DK42007552,FYNS FIBERNET ENTREPRENØR APS
DK40007555,René Toft aps
DK40007571,Grye Erhvervsejendomme ApS
DK42007579,JK Consulting
DK44007592,www.stegger.art
DK41007575,Peter Gonge Træ
DK43007580,Mincon ApS
DK41007591,Dialogrevisor v/Karen Krog        Rasmussen
DK42007617,B2C Shipping ApS
DK44007630,Veinholt Foto
DK42007633,SMRT INVESTMENTS
DK43007629,Farmen Hasseløvej 18
DK40007652,Libanon Street Food Gold ApS
DK44007673,Gyldensten Consult
DK41007656,BIT konsulenten
DK42007676,TNL Consulting
DK44007681,Garn på Hjul
DK43007653,ConXus Public Affairs ApS
DK43007661,Morten Haestrup ApS
DK41007672,Sangens Hus S/I
DK42007692,Units Danish Design ApS
DK44007703,Simon Ringgaard Din Freelancer
DK43007696,Nyborg Business Solutions
DK42007730,Dorte Lykke
DK41007729,Din kamp mod kiloene I/S
DK43007742,Bygnetværk ApS
DK41007753,360Willforce I/S
DK40007784,Sold
DK42007781,Ernst Langreiter
DK43007769,Film Assets ApS
DK43007777,Stadsvold Byg ApS
DK42007811,Philippa Studios
DK43007785,Min Favorit - antik, design &     loppefund
DK44007819,DMDISPATCH
DK43007793,RS Visuals I/S
DK44007835,Naturfundamentet
DK40007865,Kønt
DK44007886,8660 gadekøkkenet
DK40007881,ESANI Shipping ApS
DK41007869,N. P. Vesth
DK44007908,Isekai
DK43007882,Davis Handy
DK41007907,Landmand Martin Manø
DK42007927,Pixelstuen
DK44007932,Sigurds multiservice
DK40007938,JTO_advice
DK40007946,Jakobs Træfældning
DK44007959,Ilustracja
DK43007939,Wadden Aps
DK41007958,Peter Høeg
DK44007975,Lotip
DK43007947,Midtjysk Byg og Miljø ApS
DK44007991,Mie Wael - Fysioterapi
DK44008009,BABA productions
DK41007990,Hekilau
DK42008028,Lærke Bodilsen
DK44008033,NEMkontoret ApS
DK42008036,L.B. Neldahl
DK41008024,Bark v/Emil F. Buchwald
DK41008032,O' Have og Anlæg
DK43008021,Anas El-Abd
DK42008052,Emininto I/S
DK44008068,FORSBERGS
DK44008076,Ishuset ved marienlund
DK42008079,Udeservice v/ William Dalsted
DK44008092,Agrio Nature ApS
DK43008072,Jetty Kombucha ApS
DK42008109,Emil Nielsen
DK41008091,Autocenter ØST
DK40008128,Bellab
DK44008122,Expert Nails
DK43008110,Ghiladi Advokater I/S
DK43008137,Fdkfootwear
DK44008165,Bolighandel v/Rene Zederkopff
DK44008173,Solver Denmark ApS
DK42008176,Multihaver
DK44008181,Spice By Spice ApS
DK42008184,Guiding Coach - Human Diplomat
DK43008161,Scandirengøringsservice
DK41008172,Fribolyst
DK42008206,ASIA MARKED
DK44008211,danITpro ApS
DK43008196,Thors Mølle af 2022 ApS
DK43008560,Stahl Precision v/ søren stahl    jensen
DK42008583,Steka Bolig I/S
DK41008571,CAS Electronics
DK43008579,Udviklingsselskabet Kildevej      Silkeborg ApS
DK42008591,Nitter Consulting
DK40008594,Laurentzius Consulting ApS
DK43008587,Supportteam for Stålakademiet
DK44008610,Karoline Baclar
DK40008608,Ejby Supermarked ApS
DK42008605,IG Consult v/Ib Gosmer
DK41008598,EWL Records
DK44008629,Skitsehandlens udstillingsrum
DK43008609,Svend Brøndum Consulting
DK40008624,MEH Transport
DK43008617,TM Tagdækning
DK43008625,DEYI ApS
DK40008640,Travel Dot Nordic ApS
DK44008653,MP Malerservice ApS
DK41008636,TShape
DK42008656,JL Maskinudlejning
DK43008641,SPG Ejendomme 4 ApS
DK41008644,Emil Vest-Hansen
DK40008659,Aalborg Golf Simulator ApS
DK41008652,Thorning Vandværk
DK40008667,Luksushund ApS
DK44008696,ABN Video
DK43008684,KN Entreprise ApS
DK41008687,MJ Tømrer & Entreprenør
DK43008692,PM Gardiner ApS
DK42008702,Strandhøst
DK41008717,Gartner                           Bruno Grooss
DK43008730,Grøn HR
DK41008725,Tømrer & Maler Weibel ApS
DK43008749,I/S Mosevanggaard
DK40008764,FSK ApS
DK43008765,Flora Pleje ApS
DK40008772,MYMQ INTERNATIONAL ApS
DK44008785,Erbil Restaurant
DK44008793,Sunred Healthcare Consult
DK41008768,Love & Care
DK40008780,Juhl & Brunse Aps
DK43008781,Enghavens Auto & Anlæg
DK45009114,Jens Peter Glerup
DK42008826,DataImpact
DK44008831,ZK-gulve
DK42008850,Holm Service Consult
DK44008858,Tvox
DK42008869,Erik Jacobsen Consulting
DK44008866,GRUNDSTOF STUDIO
DK40008853,Nørskovgaard I/S
DK42008877,Rønns
DK41008857,Dürr Productions
DK44008890,La Rondine
DK42008907,Rahr
DK44008904,Safe Path Consulting ApS
DK43008897,Riggerne Øst
DK43008919,Nordstrøm Byg
DK44008939,Tippetop ApS
DK43008935,NK Service
DK44008947,Sydfyns Stempel & Gravering ApS
DK43008943,KK Fliserens & Algebehandling I/S
DK44008955,HV Damp
DK44008963,Maj Consulting
DK44008971,D&S Group ApS
DK41008962,CJ Anlæg
DK43008978,A. Larsen Tømrer og snedker
DK40008977,Off The Pitch ApS
DK44008998,GMB Byg AEP ApS
DK43008994,The cleaning bee
DK43009001,Hansen Consulting
DK41008989,Regnersens Enterprise
DK40009000,Engsø 21 ApS
DK44009013,cut n art
DK44009021,Pokalforum ApS
DK42009059,oidaki
DK40009043,PTL Agentur
DK41009039,Anæstesi & Blokadeklinikken
DK43009052,Færk Webbureau
DK42009067,NMT SERVICE
DK43009060,Uldsjæl
DK42009075,Hesten Først
DK41009063,AP Oversættelse
DK43009079,Studenterbiksen I/S
DK42009091,Tvermoes Produktion
DK42009105,MHouge
DK40009094,Vetplanet IPR ApS
DK44009110,Eco Agency. Pro marketing
DK42009121,Håndværkeren Sven
DK40009108,RMP
DK43009125,KMA Total Entreprise
DK44009137,CoCoaching.dk
DK43009133,Frisør Almesto
DK44009145,Levisen IT Consulting
DK40009140,Boligmægleren Svendborg ApS
DK42009156,E-handel/Nouman Parwaiz
DK43009141,Cm_f
DK44009153,Miko Productions
DK42009180,K2 Eiendom Kristiansen
DK40009175,IDCPH ApS
DK40009183,Heimdal Project ApS
DK44009196,Total Facility Service
DK42009199,Valeria Prada Studio
DK43009192,Fini Visuals
DK44009218,Tofamilier ApS
DK43009222,IEAR
DK44009242,Præstbro Vandværk a.m.b.a.
DK42009245,Ilsøe Montage
DK42009253,Specialists I/S
DK41009241,Rieper's Murerforretning ApS
DK42009261,Credible Healers Equine WitchcraftApS
DK40009264,Konflikthuset ApS
DK44009277,SW VENTILATION & INSULATION ApS
DK43009273,Jhh Import
DK44009285,Horn
DK43009303,FOTOGRAF KRISTINE LØNDAL
DK40009310,Kolo ApS
DK44009323,AG Entreprise ApS
DK42009334,Wasteland ApS
DK40009329,Brisell ApS
DK43009338,JBL bogføring & regnskab ApS
DK40009345,Juul VVS ApS
DK43009354,Sarah Amin
DK42009369,ShopZentric
DK44009366,Ravnstrup Autoværksted ApS
DK41009357,Frames Of Energy
DK40009361,CanAct ApS
DK42009385,JNS Group
DK41009403,LeiseDrive
DK43009427,Jetbude ApS
DK44009439,Bov Kro ApS
DK44009447,D&C tree care
DK41009446,SandHairstudio
DK44009455,Nopex ApS
DK42009466,KWD Consulting
DK43009451,Gasse Nyvang A/S
DK40009450,Karrebæk Richter ApS
DK44009463,Bobbie & Beastie ApS
DK44009471,Lill Granhof Retail Consulting
DK42009482,Hof byg og entreprise
DK43009478,Frederik Haaning Consulting
DK40009477,Gdr. v/Michael Kvindebjerg Hansen
DK41009489,Kv Multiservice
DK44009498,UEP Torrild ApS
DK40009485,Fitness by DSJacobsen ApS
DK44009501,3D Naturpleje ApS
DK43009494,Ejendomsfeen
DK40009515,Simone Jensen
DK42009539,Thori-Agro
DK43009524,Total Hip Replacement I/S
DK44009536,Busk & Partners
DK40009523,Traqnology ApS
DK44009544,Novastorm
DK42009555,klausEl Installation
DK44009560,bilhuset dk
DK42009571,Ransborgs Multiservice
DK43009559,Ferratum International Services Oy
DK40009566,Fiskbæk Gårdbutik A.M.B.A, ved    Gråsten Landbrugsskole
DK43009575,Hals Auto Ejendomme ApS
DK41009586,Kilon
DK44009617,Regin LA/D
DK40009604,Udviklingsselskabet Svenstrup ApS
DK44009633,VALHALLA FLYT ApS
DK41009616,Skovbakker I/S
DK43009621,Skovbrug Jens Elbech
DK42009644,LKB Baneanlæg
DK44009641,Højager Rideudstyr v/Stina Bredahl
DK41009640,NVU 23E ApS
DK44009668,JM Maler Service ApS
DK43009656,Giraffen
DK44009676,Kalundborg Vinbaren ApS
DK44009684,Sphere Aps
DK43009664,Icetugs ApS
DK45010015,Karl Johan Sørensen
DK41009667,Ribao Technology Europe ApS
DK43009672,Vortex Pharma Solution ApS
DK41009675,Bagtanker
DK43009680,On-site Management ApS
DK44009706,Mindbjerg-Byg ApS
DK41009683,Waterless Scandinavia ApS
DK40009698,Carl Nielsen Festival
DK40009701,NRG ApS
DK44009730,AI Retail ApS
DK43009729,gotfred Aarhus ApS
DK44009749,Mester Service ApS
DK42009776,LGP Blik & Montage ApS
DK44009773,SIEMENS HEALTHCARE A/S
DK43009761,Lægerne ved Grønningen ved S Kabwa
DK41009764,Kgs. Lyngby Håndbryg I/S
DK44009803,Elite Nirvana
DK41009780,Vestergaard Solutions ApS
DK41009799,Ejendomsselskabet HJGK ApS
DK41009810,M & V Services I/S
DK43009826,JVR Ejendomme ApS
DK44009846,Resolut - Helt Rent ApS
DK40009833,Nordic Scooters ApS
DK42009865,Audrey Du Jewellery
DK42009881,Aalborg Stilladser A/S
DK40009868,Saddler Scandinavia AB
DK41009853,Baungaard Landbrug
DK44009889,Footwerk ApS
DK43009877,Byclothing ApS
DK43009885,Juuls Bogholderi ApS
DK40009892,Kloster Group
DK44009935,Nordlys Vikar ApS
DK42009954,Mekini ApS
DK44009951,BBO-IT ApS
DK42009962,Harmoniens Revyperler ApS
DK41009934,Jakob Øllgaard Holm
DK43009958,Bjørum Hovedgaard v/Michael Blach
DK44009978,Industristillads ApS
DK42009997,NABO ApS
DK40009973,SKIBBY PIZZA & GRILL ApS
DK42010014,Mysteriet ApS
DK44010011,H B
DK41009985,K.F. Maler ApS
DK42010022,Artek.dk Aps
DK41009993,Revisor Hans Kjeldgaard
DK42010030,bleach.bleach.bleach
DK44010038,Hammershøj Biler ApS
DK44010046,Ret skal være Ret ApS
DK43010026,Amal
DK41010010,Godsk Ejendomme ApS
DK44010054,Veile Designs ApS
DK44010070,Engberg og Birkelund Brands ApS
DK44010097,Green iso ApS
DK44010127,Rtek ApS
DK40010106,Neuprozyme Therapeutics ApS
DK42010138,Kasper Schultz Service
DK40010114,Prozymex 2017 ApS
DK42010146,JAB Ejendomme ApS
DK42010154,Malermester Birk & Co. ApS
DK43010131,FORTEM Monitor ApS
DK42010170,Amalie Siv
DK41010142,TK Skov
DK41010150,Foreningen Vejrumbro's venner
DK42010197,Lastein Kunst & Kommunikation
DK43010166,Partnership Management ApS
DK40010173,Binderiet Vestergade ApS
DK44010208,Tjæreborg Gulve ApS
DK43010190,Muddi Ejendomme Nyborg ApS
DK40010203,Partnerselskabet Skovbrynet 1-5,  Kolding
DK42010235,Stahr Consult v/Ole Leonard Stæhr
DK44010240,Duun Partners ApS
DK43010220,ARAYA I/S
DK40010238,TNS Design ApS
DK44010259,Mendole ApS
DK41010223,Den mentale vinder
DK40010254,Jordemoderkonsulenterne ApS
DK44010267,NRConsult
DK42010286,Røsnæs Kro ApS
DK44010275,Gulv Master ApS
DK43010255,Gert Jørgensen
DK42010294,BEKKER TØMRER & SNEDKER APS
DK43010263,Agger Iscafé
DK44010291,Magdas Malerfirma
DK42010316,Johanne Anastasia Stoffersen
DK44010305,CB Service
DK41010274,Dath Consulting ApS
DK40010297,Denmark Bayside Owner ApS
DK43010301,LH Ejendomsservice
DK44010348,A+ Elektriker ApS
DK42010375,NorSea Denmark Property A/S
DK41010320,Ny Odgaard ApS
DK43010336,Webfronten ApS
DK44010364,Eszter Karczag PMV
DK43010344,PG ApS
DK43010360,Bonnier Books Danmark A/S
DK42010413,Haandterbart
DK43010379,Trubit ApS
DK43010387,Entspannen
DK44010410,Slagelse Kirkegårde
DK43010395,GCIT ApS
DK43010409,The Tile Studio ApS
DK44010429,Slagboret
DK42010464,KR Erhvervsservice
DK40010424,Seamless Basic ApS
DK44010437,Min forretning v/Malene Rasmussen
DK42010472,Second Agency
DK43010425,MB WorkZone
DK42010480,Boutmedia
DK44010445,Tømrermester Torben Sørensen ApS
DK43010441,TES Facility Management ApS
DK41010444,Hårupgård
DK44010488,ADR Racing
DK41010460,Falafelkælderen ApS
DK43010468,Bworld Trading ApS
DK42010529,EM Montering
DK43010484,Nordic Solar EPC ApS
DK42010553,Blossholm ApS
DK40010513,SS Frydensbergvej
DK41010509,Jørgen Hedegaard Jensen
DK40010521,Astralis LoL ApS
DK43010522,FH-Concept ApS
DK43010530,BlaaChou ApS
DK45010910,Radsted Skovgård                  v/J Rasmussen
DK41010541,Clausholm IT ApS
DK41010568,Hos Din Tatovør
DK44010593,Biolog - Kristian Laustsen
DK43010581,AT-BYG ApS
DK42010634,Din Ungekonsulent. v/ Lotte Hagen
DK42010642,Micks Maskinudlejning ApS
DK44010607,FILO Consulting
DK41010592,kod.digital I/S
DK43010603,Foreningen Lydhavnen
DK41010606,Post Bodegaen I/S
DK43010646,OnboardingButler ApS
DK44010666,Nidas Technologies I/S
DK41010649,Kjærgaard Landbrug ApS
DK43010670,Lafresca Danmark ApS
DK44010682,Tattoo by MKP
DK44010690,Hamina Thai Massage
DK43010689,AZA ApS
DK41010673,Murermester Bent Gade ChristiansenEftf. ApS
DK44010704,Braüner True Consultancy
DK40010726,N Ladegaard
DK44010739,Hundetræning v/Cathrine Mikkelsen
DK42010790,bendedpix
DK40010742,Paw's Tømrerfirma ApS
DK43010751,Caripo Leasing A/S
DK44010771,Brønd Studio
DK42010820,Below Pines I/S
DK43010786,Din Eventpartner ApS
DK41010770,LFDN ApS
DK44010798,Hs glas
DK42010839,Oesten Translation
DK42010847,IASO ApS
DK41010797,SHP
DK44010828,JE Revision & Regnskab
DK44010836,Voltumachine ApS
DK41010835,Jens Kristian Kristensen
DK44010852,Kanstikka
DK43010859,HabitusHusene Fyn ApS
DK40010874,Expert Ringe ApS
DK43010875,Vordingborg Hørecenter ApS
DK40010890,Hasses Hands ApS
DK42010928,Padel Thisted ApS
DK43010891,Sjelhøj IT ApS
DK42010936,On the Fly
DK41010894,Eline Transport ApS
DK42010944,Selskabet af den 04.01.2021 EB A/S
DK44010925,Mast Byggerådgivning
DK40010939,Undervisningskokken
DK41010932,Lasse Bruun
DK42010987,Crawford Irvine Architecture ApS
DK42010995,SkaberZonen ApS
DK40010955,Kudahls Køreskole
DK45011356,Bøgballe-Vester Ørum Vandværk
DK43010964,Beauty&health
DK44010976,HarmonicHorse
DK41010967,Orange Moose ApS
DK41010975,Destination Himmerland
DK42011029,Blak Design
DK41010991,EES - Nikoline Kitsja
DK43011006,Thingvad Auto A/S
DK44011034,Ubead & Lipi
DK44011042,Sidelmann Auto
DK42011096,P&P radio ApS
DK44011077,Le Petit Mouton
DK40011072,Møllegården
DK40011080,Danois Film ApS
DK42011134,Marlene Sparre Ibsen
DK44011107,ETHYX PHARMACEUTICALS
DK42011150,Anne Marie Madsen
DK41011106,Søballevej61
DK44011123,Stenbek I/S
DK42011169,Grand house Burger
DK42011177,BPP Offshore Wind A/S
DK40011129,MalerGlad
DK42011193,Den Gyldne Service ApS
DK43011146,SL Plastsvejsning & Montage
DK44011166,Sivagerhuset
DK42011207,Dansk Rengørings Rådgivning
DK43011162,Lundgaard service
DK44011182,Barnby Totalservice
DK43011170,A.J Malerfirma ApS
DK42011223,Kokken James
DK44011190,Sinding C ApS
DK40011188,N. Harding
DK42011231,Sneppen ApS
DK41011181,2MAF ApS
DK43011197,Stockroom ApS
DK42011258,Murermester Dransfeldt ApS
DK40011218,DGI
DK41011211,Arentoft Digital ApS
DK40011234,Maaveeran Peter Buhl
DK44011247,Lyd
DK40011242,Tiktok Agency danmark
DK44011263,Kvalisilver ApS
DK44011271,CK-Holmboe ApS
DK40011269,IFS Invest ApS
DK41011270,Hansens Hus og Have Service
DK42011320,Nielsens Hus & Haveservice
DK44011301,Smil
DK43011286,Gowi ApS
DK42011347,Target Logistik ApS
DK43011308,Better Energy Vejrup Estate P/S
DK41011319,JE.Dansk Creator ApS
DK44011344,Nura ApS
DK41011327,Klokkerholm Pizzaria
DK43011324,Better Energy Hoven P/S
DK44011352,Lynggården
DK43011332,Better Energy Vamdrup Estate P/S
DK41011351,GigaByg.dk ApS
DK43011359,Shahzadi Ventures
DK40011366,A.B Service ApS
DK42011428,Lille Nellerud
DK44011395,Wine & Nature ApS
DK43011375,Better Energy Fjelsted P/S
DK43011383,Better Energy Nyrup P/S
DK41011408,SMK-Leasing ApS
DK43011405,thobeworld
DK42011460,De Hvide Boder ApS
DK40011412,B2B-Booking
DK43011413,Better Energy Jernved Estate P/S
DK43011421,Sunshine island ApS
DK41011432,KN Byg & Anlæg ApS
DK42011487,Bögedal Steel ApS
DK41011440,A-Teams ApS
DK43011448,Better Energy Hjortlund Estate P/S
DK44011468,Seasons DK ApS
DK41011459,Jjc Ejendomme ApS
DK41011467,Nedrivningsfirma Nilsson & Søn ApS
DK43011464,Better Energy Lundsmark Estate P/S
DK44011484,Nordic AV ApS
DK42011525,PNB Invest ApS
DK43011499,Dyrendahl ApS
DK41011505,JALI Ejendomme
DK41011513,Tromborg Decor ApS
DK44011549,UEP Hadsten Nord ApS
